"PC","Variance_Explained"
"PC1",26.1770195032065
"PC2",10.6918568655896
"PC3",4.53181308650411
"PC4",3.8748505543773
"PC5",3.39661793289497
"PC6",2.602734759602
"PC7",2.38098667517048
"PC8",2.25893606329137
"PC9",1.96073845928218
"PC10",1.6754713403144
"PC11",1.52837915898271
"PC12",1.40211927083795
"PC13",1.34981701051489
"PC14",1.25270261805133
"PC15",1.2335419339044
"PC16",1.14075648091381
"PC17",1.04811241424686
"PC18",1.00711998977901
"PC19",0.956090259193608
"PC20",0.933559803019341
"PC21",0.872693896787392
"PC22",0.841245470559955
"PC23",0.816055616265276
"PC24",0.786400531656122
"PC25",0.774186368321726
"PC26",0.744187391185514
"PC27",0.726178776434211
"PC28",0.700652934916423
"PC29",0.688249258018202
"PC30",0.654011950895007
"PC31",0.633312309423703
"PC32",0.611682688689329
"PC33",0.59022997291569
"PC34",0.569837090892575
"PC35",0.561547543906516
"PC36",0.546992721454663
"PC37",0.532059478497463
"PC38",0.5209200155656
"PC39",0.500019371477123
"PC40",0.488072369240758
"PC41",0.47289847955358
"PC42",0.466062436641149
"PC43",0.457439294594313
"PC44",0.441444569589936
"PC45",0.421654003680984
"PC46",0.413030897548359
"PC47",0.404473226132112
"PC48",0.396266120663318
"PC49",0.383306636183467
"PC50",0.381126593163419
"PC51",0.372548599465734
"PC52",0.36877916441482
"PC53",0.360743685545483
"PC54",0.352267037144767
"PC55",0.348549918713776
"PC56",0.330251961507358
"PC57",0.327435419998478
"PC58",0.312507590260375
"PC59",0.303410520990386
"PC60",0.29085732724664
"PC61",0.285979937726698
"PC62",0.283209992147538
"PC63",0.272647172062123
"PC64",0.26734606213756
"PC65",0.264105530985595
"PC66",0.254323104576667
"PC67",0.250507852841332
"PC68",0.247605860829912
"PC69",0.244503097792509
"PC70",0.232679840864242
"PC71",0.230461034758429
"PC72",0.228732698783515
"PC73",0.225001831748616
"PC74",0.213358748510046
"PC75",0.20692427063964
"PC76",0.200577160465521
"PC77",0.186683254483552
"PC78",0.185444758336718
"PC79",0.17975995836046
"PC80",0.174662464841936
"PC81",0.167750774713394
"PC82",0.165225189867318
"PC83",0.163117831298075
"PC84",0.161136657532656
"PC85",0.158716583845263
"PC86",0.15066052597049
"PC87",0.144711571009065
"PC88",0.142302401237236
"PC89",0.13490131038241
"PC90",0.130707757959098
"PC91",0.129889939900004
"PC92",0.127576909171143
"PC93",0.12334445371192
"PC94",0.120051920134984
"PC95",0.119534096999466
"PC96",0.116014717437678
"PC97",0.109085511689469
"PC98",0.106411066809357
"PC99",0.102250230946031
"PC100",0.100282038436138
"PC101",0.0973617353038026
"PC102",0.0923452965223443
"PC103",0.0886662020310572
"PC104",0.0882015585807122
"PC105",0.0836153788996163
"PC106",0.0748102869001759
"PC107",8.93814021541922e-29
