"Probe_ID","Gene_Symbol","logFC","P.Value","adj.P.Val"
"209074_s_at","FAM107A",-3.37179857065763,3.23063495925355e-45,7.19882387970469e-41
"209555_s_at","CD36",-2.41698373264813,1.58849549762044e-42,1.76982225867381e-38
"204396_s_at","GRK5",-2.38807178627269,3.99225282542438e-42,2.96531232363105e-38
"206209_s_at","CA4",-2.55350849621428,8.56774637956685e-42,4.77287731439721e-38
"204271_s_at","EDNRB",-2.22749191157635,1.09651111476061e-41,4.88671143404212e-38
"204677_at","CDH5",-2.61957336314813,1.77119293319137e-41,6.57791535505055e-38
"210081_at","AGER",-4.41746953099296,7.00048432640452e-41,2.22845417493246e-37
"32625_at","NPR1",-1.18215100351619,9.14621159088975e-41,2.54756291099745e-37
"206702_at","TEK",-2.46645478325158,1.18849214341667e-40,2.5871378076554e-37
"219719_at","HIGD1B",-1.36397313661084,1.21827773105852e-40,2.5871378076554e-37
"205200_at","CLEC3B",-3.4118534980584,1.2771402362433e-40,2.5871378076554e-37
"204931_at","TCF21",-2.53009790955735,2.8922407325504e-40,5.37065002028504e-37
"219213_at","JAM2",-1.55913243015763,3.8717745679267e-40,6.21895414082406e-37
"217046_s_at","AGER",-3.03768888583216,3.9072547669316e-40,6.21895414082406e-37
"204273_at","EDNRB",-3.16126027764426,8.06336783519561e-40,1.1229751591979e-36
"208982_at","PECAM1",-1.81391374177058,1.4296127621947e-39,1.8738859517638e-36
"213103_at","STARD13",-1.21981976711928,1.55026503873161e-39,1.91914199211425e-36
"209470_s_at","GPM6A",-2.83583721829521,1.85201589025629e-39,2.17202474118847e-36
"208981_at","PECAM1",-1.68890249667136,2.72404762746335e-39,3.03499766413829e-36
"219597_s_at","DUOX1",-2.17652347704116,5.53186002714036e-39,5.86983033260803e-36
