"Probe_ID","Gene_Symbol","logFC","P.Value","adj.P.Val"
"209875_s_at","SPP1",4.36441512427304,5.22079560251313e-40,7.75566589405335e-37
"201577_at","NME1",1.74771340239162,1.1304854702864e-31,2.39910549851351e-29
"200700_s_at","KDELR2",1.42227021201337,2.87904715712339e-30,4.97316339551787e-28
"217871_s_at","MIF",1.36643397130612,6.51498278891644e-30,1.04441267255701e-27
"206499_s_at","RCC1",1.01044086179803,9.38279858795594e-28,1.14249672642307e-25
"201013_s_at","PAICS",1.66910409621463,1.41652657187503e-27,1.71545986962453e-25
"209529_at","PLPP2",1.87245344223892,1.62932120287184e-27,1.95194432062329e-25
"203744_at","HMGB3",2.21619725443737,2.13341941907195e-27,2.52866941038193e-25
"217771_at","GOLM1",1.83141413145848,3.01787485789392e-27,3.50246382596095e-25
"212353_at","SULF1",2.36007949937333,1.44510647605745e-26,1.51179847915438e-24
"201292_at","TOP2A",2.4559629390102,2.41223921403689e-26,2.43221386454227e-24
"201231_s_at","ENO1",1.07591118475369,3.13183539574364e-26,3.07430344155752e-24
"212680_x_at","PPP1R14B",1.22755964527058,7.884027012395e-26,7.40635316493605e-24
"212354_at","SULF1",2.11829633553483,7.91056883388583e-26,7.40635316493605e-24
"217809_at","BZW2",1.12762736244441,8.46739195478813e-26,7.85644965048027e-24
"213453_x_at","GAPDH",1.02841124179099,1.1902951039852e-25,1.05251372230564e-23
"202200_s_at","SRPK1",1.02044975396235,1.63332720501581e-25,1.39982423497566e-23
"209035_at","MDK",1.8202872279722,2.18544255996835e-25,1.80363765051018e-23
"218469_at","GREM1",2.54836273574384,8.05418306397589e-25,6.27522242009003e-23
"205941_s_at","COL10A1",1.95111668730506,9.48244162002366e-25,7.30027563023874e-23
