"SYMBOL","ENTREZID"
"FAM107A","11170"
"CD36","948"
"GRK5","2869"
"CA4","762"
"EDNRB","1910"
"CDH5","1003"
"AGER","177"
"NPR1","4881"
"TEK","7010"
"HIGD1B","51751"
"CLEC3B","7123"
"TCF21","6943"
"JAM2","58494"
"SPP1","6696"
"PECAM1","5175"
"STARD13","90627"
"GPM6A","2823"
"DUOX1","53905"
"VWF","7450"
"FHL1","2273"
"FABP4","2167"
"ADH1B","125"
"FOXF1","2294"
"AGTR1","185"
"LDB2","9079"
"VEGFD","2277"
"ABCA8","10351"
"TAL1","6886"
"RAMP2","10266"
"RASIP1","54922"
"ACADL","33"
"TGFBR3","7049"
"CLDN5","7122"
"KCNK3","3777"
"TNXA","7146"
"SFTPC","6440"
"TNXB","7148"
"EPAS1","2034"
"CAV1","857"
"SASH1","23328"
"ADARB1","104"
"LRRN3","54674"
"ITIH5","80760"
"SPOCK2","9806"
"S1PR1","1901"
"ADAMTSL3","57188"
"TACC1","6867"
"GPM6B","2824"
"JCAD","57608"
"CD93","22918"
"SLIT2","9353"
"AOC3","8639"
"ARHGAP6","395"
"TNS1","7145"
"ADAMTS8","11095"
"FGFR4","2264"
"STXBP6","29091"
"FXYD6","53826"
"FHL5","9457"
"MMRN2","79812"
"SVEP1","79987"
"DPEP2","64174"
"TIE1","7075"
"PALM2AKAP2","445815"
"LIMS2","55679"
"RAI2","10742"
"EMCN","51705"
"ACACB","32"
"FCN3","8547"
"FXYD1","5348"
"CLDN18","51208"
"CAT","847"
"RGCC","28984"
"LEPR","3953"
"C14orf132","56967"
"TBX2","6909"
"SEMA5A","9037"
"NME1","4830"
"TNNC1","7134"
"FEZ1","9638"
"SPTBN1","6711"
"CRYAB","1410"
"CLIC5","53405"
"HEG1","57493"
"EMP2","2013"
"ADIRF","10974"
"GPX3","2878"
"ITM2A","9452"
"LYVE1","10894"
"UPK3B","105375355"
"ENTREP1","9413"
"KDELR2","11014"
"SESN1","27244"
"PDZD2","23037"
"MFAP4","4239"
"RAMP3","10268"
"CAV2","858"
"MIF","4282"
"KLF2","10365"
"TMEM100","55273"
"TMT1A","25840"
"SYNM","23336"
"MACF1","23499"
"PIP5K1B","8395"
"CD34","947"
"ERG","2078"
"DIAPH2","1730"
"LRRC32","2615"
"ADGRL2","23266"
"TMEM204","79652"
"LPL","4023"
"RASL12","51285"
"COX7A1","1346"
"KANK3","256949"
"PTPRB","5787"
"ENG","2022"
"FBLN5","10516"
"CHRDL1","91851"
"CFD","1675"
"HOXA5","3202"
"FMO2","2327"
"QKI","9444"
"DENND3","22898"
"PDLIM2","64236"
"THBD","7056"
"RCC1","1104"
"PAICS","10606"
"LRRC36","55282"
"PLPP2","8612"
"HMGB3","3149"
"SRPX","8406"
"SLC27A3","11000"
"GATA2","2624"
"GOLM1","51280"
"ARRB1","408"
"CDO1","1036"
"WFS1","7466"
"DOCK4","9732"
"ARHGEF6","9459"
"LMO2","4005"
"KL","9365"
"CAVIN2","8436"
"DLC1","10395"
"SNRK","54861"
"GATA6","2627"
"ANGPT1","284"
"TBX3","6926"
"OLFML1","283298"
"FRY","10129"
"SULF1","23213"
"KLF4","9314"
"P3H2","55214"
"DNASE1L3","1776"
"DACH1","1602"
"BCHE","590"
"TOP2A","7153"
"LHFPL6","10186"
"SOSTDC1","25928"
"LINC00312","29931"
"ADRB2","154"
"ENO1","2023"
"DPYSL2","1808"
"ICAM2","3384"
"CTNNAL1","8727"
"PID1","55022"
"ZBTB16","7704"
"INPP5A","3632"
"CYP4B1","1580"
"PPP1R14B","26472"
"SPARCL1","8404"
"BZW2","28969"
"CPB2","1361"
"GIMAP6","474344"
"GHR","2690"
"WWC2","80014"
"WIF1","11197"
"AHNAK","79026"
"SYNC","81493"
"GAPDH","2597"
"KANK2","25959"
"TSPAN7","7102"
"TGFBR2","7048"
"VIPR1","7433"
"SRPK1","6732"
"TRPV2","51393"
"ANOS1","3730"
"CAVIN1","284119"
"SYNE3","161176"
"LIMCH1","22998"
"EML1","2009"
"MDK","4192"
"HBB","3043"
"WFDC1","58189"
"SEMA3G","56920"
"PCDH17","27253"
"ID4","3400"
"MYH11","4629"
"GREM1","26585"
"COL10A1","1300"
"SYNPO","11346"
"CBX7","23492"
"GAS6","2621"
"HSPB8","26353"
"P2RY14","9934"
"HBA1","3039"
"PLPP3","8613"
"RECK","8434"
"SMAD6","4091"
"CRTAC1","55118"
"SNX1","6642"
"MEIS1","4211"
"GDF10","2662"
"MT1M","4499"
"ST14","6768"
"ADGRE5","976"
"REEP1","65055"
"LMOD1","25802"
"FERMT2","10979"
"GMFG","9535"
"GFPT1","2673"
"CLIC3","9022"
"THBS2","7058"
"HBA2","3040"
"MYH10","4628"
"HYAL1","3373"
"EPB41L2","2037"
"NEDD4L","23327"
"SFTPD","6441"
"PALMD","54873"
"PRDX4","10549"
"CACNA2D2","9254"
"STOM","2040"
"PTGDS","5730"
"DES","1674"
"SLCO2A1","6578"
"FBLN1","2192"
"COL11A1","1301"
"A2M","2"
"GNG11","2791"
"C1orf115","79762"
"TPBG","7162"
"LAMP3","27074"
"SOX4","6659"
"AQP4","361"
"SLC39A8","64116"
"CAPN3","825"
"INAVA","55765"
"PDIA4","9601"
"CRIM1","51232"
"CD302","9936"
"MIR22HG","84981"
"ZNF423","23090"
"PIK3R1","5295"
"ABCA3","21"
"SORBS1","10580"
"PLLP","51090"
"LTBP4","8425"
"CP","1356"
"KDELR3","11015"
"HLF","3131"
"SH3BP5","9467"
"MARCO","8685"
"HMGA1","3159"
"PLA2G1B","5319"
"CCL14","6358"
"JPT1","51155"
"KPNA2","3838"
"SELENBP1","8991"
"GPC3","2719"
"IL33","90865"
"HLA-E","3133"
"PCLAF","9768"
"LMCD1","29995"
"SPAG4","6676"
"DST","667"
"NFASC","23114"
"KAZN","23254"
"RRAS","6237"
"PAIP1","10605"
"PKIG","11142"
"FGR","2268"
"TPPP3","51673"
"SSR4","6748"
"ATP2A2","488"
"SECISBP2L","9728"
"H3-3B","3021"
"HLX","3142"
"TNFRSF21","27242"
