"Probe_ID","Gene_Symbol","logFC","P.Value","adj.P.Val","Regulation","MeanDecreaseGini"
"209074_s_at","FAM107A",-3.37179857065763,3.23063495925355e-45,7.19882387970469e-41,"Downregulated",0.422068965517241
"209555_s_at","CD36",-2.41698373264813,1.58849549762044e-42,1.76982225867381e-38,"Downregulated",1.01710344827586
"204396_s_at","GRK5",-2.38807178627269,3.99225282542438e-42,2.96531232363105e-38,"Downregulated",1.69353645674971
"206209_s_at","CA4",-2.55350849621428,8.56774637956685e-42,4.77287731439721e-38,"Downregulated",0.163727422003284
"204271_s_at","EDNRB",-2.22749191157635,1.09651111476061e-41,4.88671143404212e-38,"Downregulated",1.53885228814164
"204677_at","CDH5",-2.61957336314813,1.77119293319137e-41,6.57791535505055e-38,"Downregulated",2.1152585109774
"210081_at","AGER",-4.41746953099296,7.00048432640452e-41,2.22845417493246e-37,"Downregulated",0.337379310344828
"32625_at","NPR1",-1.18215100351619,9.14621159088975e-41,2.54756291099745e-37,"Downregulated",2.91977115987461
"206702_at","TEK",-2.46645478325158,1.18849214341667e-40,2.5871378076554e-37,"Downregulated",0.594246388210457
"219719_at","HIGD1B",-1.36397313661084,1.21827773105852e-40,2.5871378076554e-37,"Downregulated",0.34216091954023
"205200_at","CLEC3B",-3.4118534980584,1.2771402362433e-40,2.5871378076554e-37,"Downregulated",0.757269568175743
"204931_at","TCF21",-2.53009790955735,2.8922407325504e-40,5.37065002028504e-37,"Downregulated",0.683911330049261
"219213_at","JAM2",-1.55913243015763,3.8717745679267e-40,6.21895414082406e-37,"Downregulated",1.03121121522453
"217046_s_at","AGER",-3.03768888583216,3.9072547669316e-40,6.21895414082406e-37,"Downregulated",0.259632430213465
"209875_s_at","SPP1",4.36441512427304,5.22079560251313e-40,7.75566589405335e-37,"Upregulated",0.26032183908046
"204273_at","EDNRB",-3.16126027764426,8.06336783519561e-40,1.1229751591979e-36,"Downregulated",0.173685276409414
"208982_at","PECAM1",-1.81391374177058,1.4296127621947e-39,1.8738859517638e-36,"Downregulated",1.61292494432023
"213103_at","STARD13",-1.21981976711928,1.55026503873161e-39,1.91914199211425e-36,"Downregulated",1.08684090231119
"209470_s_at","GPM6A",-2.83583721829521,1.85201589025629e-39,2.17202474118847e-36,"Downregulated",0.944136861801657
"208981_at","PECAM1",-1.68890249667136,2.72404762746335e-39,3.03499766413829e-36,"Downregulated",0.260307199924234
"219597_s_at","DUOX1",-2.17652347704116,5.53186002714036e-39,5.86983033260803e-36,"Downregulated",1.28921716333659
"202112_at","VWF",-2.25847350861717,7.318790081536e-39,7.41293633576666e-36,"Downregulated",3.17749248768754
"201540_at","FHL1",-2.55504116710626,1.28841513672986e-38,1.24825019529354e-35,"Downregulated",1.61637911886664
"207547_s_at","FAM107A",-1.89638636763898,1.40549801234957e-38,1.25082382426423e-35,"Downregulated",0.0897672413793103
"203980_at","FABP4",-3.83854131283955,1.43342548808679e-38,1.25082382426423e-35,"Downregulated",0
"209614_at","ADH1B",-1.55150138764497,1.45947221787326e-38,1.25082382426423e-35,"Downregulated",0.501540229885057
"205935_at","FOXF1",-2.22805788298065,2.62809281067014e-38,2.16895526296899e-35,"Downregulated",1.20890874973066
"205357_s_at","AGTR1",-1.69910265594124,3.54509721925411e-38,2.8212643334514e-35,"Downregulated",0.520123040752351
"206481_s_at","LDB2",-2.2117825543406,3.80520334773685e-38,2.91030522927964e-35,"Downregulated",2.73402403343783
"206742_at","VEGFD",-2.55490155608796,3.91819579403084e-38,2.91030522927964e-35,"Downregulated",0.0868965517241379
"204719_at","ABCA8",-2.95990968806755,4.4656633509654e-38,3.20994762740523e-35,"Downregulated",0.259770114942529
"210299_s_at","FHL1",-2.68417512565693,4.7852028296866e-38,3.33214608293458e-35,"Downregulated",1.49626835561811
"206701_x_at","EDNRB",-2.29893179844616,6.37130730014015e-38,4.30217698694009e-35,"Downregulated",2.05475427591232
"214505_s_at","FHL1",-1.88907486206861,1.56917396092559e-37,1.02840892268544e-34,"Downregulated",0.0837208538587849
"206283_s_at","TAL1",-1.29273068848065,1.92503174535595e-37,1.22558521090762e-34,"Downregulated",0.692947063204994
"206069_s_at","ACADL",-1.51304482928395,1.09871968490056e-36,6.44283440490503e-34,"Downregulated",0.417471264367816
"204731_at","TGFBR3",-2.42220168031984,1.2009508975532e-36,6.86174073081487e-34,"Downregulated",0.253057471264368
"204482_at","CLDN5",-1.88827772944581,2.43270573249881e-36,1.32075855380905e-33,"Downregulated",0
"200878_at","EPAS1",-2.08742540826354,6.62764516654993e-36,3.07674619262984e-33,"Downregulated",0.66708431679882
"218665_at","FZD4",-0.931870020957072,9.03816033774153e-36,4.11014952665091e-33,"Not Significant",1.37412791652347
"203065_s_at","CAV1",-2.67774073700176,9.90319234083422e-36,4.41345669861618e-33,"Downregulated",1.02335172413793
"203865_s_at","ADARB1",-1.8991925178114,1.93422644102182e-35,8.28853226640177e-33,"Downregulated",0.688550542948097
"204642_at","S1PR1",-1.27744822288212,4.73837160216608e-35,1.85167804650336e-32,"Downregulated",0.255769715142429
