"Probe_ID","logFC","AveExpr","t","P.Value","adj.P.Val","B","Regulation"
"209074_s_at",-3.37179857065763,8.99517867345794,-24.0140161015567,3.23063495925355e-45,7.19882387970469e-41,92.4400697813283,"Downregulated"
"209555_s_at",-2.41698373264813,8.26109862261682,-22.4232931968746,1.58849549762044e-42,1.76982225867381e-38,86.3263105582354,"Downregulated"
"204396_s_at",-2.38807178627269,8.67718884225234,-22.1928815869017,3.99225282542438e-42,2.96531232363105e-38,85.416171848645,"Downregulated"
"206209_s_at",-2.55350849621428,8.08208037337383,-22.0031116376778,8.56774637956685e-42,4.77287731439721e-38,84.6617955791039,"Downregulated"
"204271_s_at",-2.22749191157635,8.7836255275514,-21.9420246998206,1.09651111476061e-41,4.88671143404212e-38,84.4180397533758,"Downregulated"
"204677_at",-2.61957336314813,8.00420388171963,-21.8236031108179,1.77119293319137e-41,6.57791535505055e-38,83.9442168695741,"Downregulated"
"210081_at",-4.41746953099296,9.48229621814019,-21.4864384363448,7.00048432640452e-41,2.22845417493246e-37,82.5858433255391,"Downregulated"
"32625_at",-1.18215100351619,7.53375627257944,-21.421228317081,9.14621159088975e-41,2.54756291099745e-37,82.3215227607971,"Downregulated"
"206702_at",-2.46645478325158,8.46804697311215,-21.3574620124647,1.18849214341667e-40,2.5871378076554e-37,82.0625504064361,"Downregulated"
"219719_at",-1.36397313661084,8.57418329919626,-21.3514421207914,1.21827773105852e-40,2.5871378076554e-37,82.0380762022489,"Downregulated"
"205200_at",-3.4118534980584,8.90118764742991,-21.3399695531653,1.2771402362433e-40,2.5871378076554e-37,81.9914215154943,"Downregulated"
"204931_at",-2.53009790955735,7.35600441296262,-21.1418298667391,2.8922407325504e-40,5.37065002028504e-37,81.1831048807401,"Downregulated"
"219213_at",-1.55913243015763,8.58306221443925,-21.0714013452049,3.8717745679267e-40,6.21895414082406e-37,80.8946227226978,"Downregulated"
"217046_s_at",-3.03768888583216,7.8582212571028,-21.0692010767405,3.9072547669316e-40,6.21895414082406e-37,80.8856003236022,"Downregulated"
"209875_s_at",4.36441512427304,9.69923956271028,20.9993700546069,5.22079560251313e-40,7.75566589405335e-37,80.5989404595395,"Upregulated"
"204273_at",-3.16126027764426,6.83445309162617,-20.8948979853734,8.06336783519561e-40,1.1229751591979e-36,80.168948049166,"Downregulated"
"208982_at",-1.81391374177058,10.6673127988037,-20.7577463725739,1.4296127621947e-39,1.8738859517638e-36,79.6023905882804,"Downregulated"
"213103_at",-1.21981976711928,8.18895597621495,-20.738385513752,1.55026503873161e-39,1.91914199211425e-36,79.522224283881,"Downregulated"
"209470_s_at",-2.83583721829521,7.34324780812149,-20.6959253662378,1.85201589025629e-39,2.17202474118847e-36,79.3462483449584,"Downregulated"
"208981_at",-1.68890249667136,10.1527935483178,-20.6039872256386,2.72404762746335e-39,3.03499766413829e-36,78.9644387974902,"Downregulated"
