"Gene_Symbol","Probe_ID","logFC","adj.P.Val","Regulation","MeanDecreaseGini","DEG_Rank","ML_Rank"
"CDH5","204677_at",-2.61957336314813,6.57791535505055e-38,"Downregulated",2.1152585109774,8,4
"FHL1","201540_at",-2.55504116710626,1.24825019529354e-35,"Downregulated",1.61637911886664,9,7
"VWF","202112_at",-2.25847350861717,7.41293633576666e-36,"Downregulated",3.17749248768754,19,1
"CLEC3B","205200_at",-3.4118534980584,2.5871378076554e-37,"Downregulated",0.757269568175743,4,17
"CAV1","203065_s_at",-2.67774073700176,4.41345669861618e-33,"Downregulated",1.02335172413793,7,15
"GRK5","204396_s_at",-2.38807178627269,2.96531232363105e-38,"Downregulated",1.69353645674971,16,6
"EDNRB","206701_x_at",-2.29893179844616,4.30217698694009e-35,"Downregulated",2.05475427591232,18,5
"LDB2","206481_s_at",-2.2117825543406,2.91030522927964e-35,"Downregulated",2.73402403343783,21,3
"GPM6A","209469_at",-2.32730832933849,5.94056211137475e-32,"Downregulated",1.10630540990685,17,11
"FOXF1","205935_at",-2.22805788298065,2.16895526296899e-35,"Downregulated",1.20890874973066,20,10
"CD36","209555_s_at",-2.41698373264813,1.76982225867381e-38,"Downregulated",1.01710344827586,15,16
"DUOX1","219597_s_at",-2.17652347704116,5.86983033260803e-36,"Downregulated",1.28921716333659,22,9
"AGER","210081_at",-4.41746953099296,2.22845417493246e-37,"Downregulated",0.337379310344828,1,31
"TCF21","204931_at",-2.53009790955735,5.37065002028504e-37,"Downregulated",0.683911330049261,12,20
"FAM107A","209074_s_at",-3.37179857065763,7.19882387970469e-41,"Downregulated",0.422068965517241,5,28
"SPP1","209875_s_at",4.36441512427304,7.75566589405335e-37,"Upregulated",0.26032183908046,2,32
"TEK","206702_at",-2.46645478325158,2.5871378076554e-37,"Downregulated",0.594246388210457,13,22
"PECAM1","208982_at",-1.81391374177058,1.8738859517638e-36,"Downregulated",1.61292494432023,28,8
"ABCA8","204719_at",-2.95990968806755,3.20994762740523e-35,"Downregulated",0.259770114942529,6,33
"FABP4","203980_at",-3.83854131283955,1.25082382426423e-35,"Downregulated",0,3,40
