"Probe_ID","logFC","AveExpr","t","P.Value","adj.P.Val","B","Regulation","Gene_Symbol"
"209074_s_at",-3.37179857065763,8.99517867345794,-24.0140161015567,3.23063495925355e-45,7.19882387970469e-41,92.4400697813283,"Downregulated","FAM107A"
"209555_s_at",-2.41698373264813,8.26109862261682,-22.4232931968746,1.58849549762044e-42,1.76982225867381e-38,86.3263105582354,"Downregulated","CD36"
"204396_s_at",-2.38807178627269,8.67718884225234,-22.1928815869017,3.99225282542438e-42,2.96531232363105e-38,85.416171848645,"Downregulated","GRK5"
"206209_s_at",-2.55350849621428,8.08208037337383,-22.0031116376778,8.56774637956685e-42,4.77287731439721e-38,84.6617955791039,"Downregulated","CA4"
"204271_s_at",-2.22749191157635,8.7836255275514,-21.9420246998206,1.09651111476061e-41,4.88671143404212e-38,84.4180397533758,"Downregulated","EDNRB"
"204677_at",-2.61957336314813,8.00420388171963,-21.8236031108179,1.77119293319137e-41,6.57791535505055e-38,83.9442168695741,"Downregulated","CDH5"
"210081_at",-4.41746953099296,9.48229621814019,-21.4864384363448,7.00048432640452e-41,2.22845417493246e-37,82.5858433255391,"Downregulated","AGER"
"32625_at",-1.18215100351619,7.53375627257944,-21.421228317081,9.14621159088975e-41,2.54756291099745e-37,82.3215227607971,"Downregulated","NPR1"
"205200_at",-3.4118534980584,8.90118764742991,-21.3399695531653,1.2771402362433e-40,2.5871378076554e-37,81.9914215154943,"Downregulated","CLEC3B"
"219719_at",-1.36397313661084,8.57418329919626,-21.3514421207914,1.21827773105852e-40,2.5871378076554e-37,82.0380762022489,"Downregulated","HIGD1B"
"206702_at",-2.46645478325158,8.46804697311215,-21.3574620124647,1.18849214341667e-40,2.5871378076554e-37,82.0625504064361,"Downregulated","TEK"
"204931_at",-2.53009790955735,7.35600441296262,-21.1418298667391,2.8922407325504e-40,5.37065002028504e-37,81.1831048807401,"Downregulated","TCF21"
"219213_at",-1.55913243015763,8.58306221443925,-21.0714013452049,3.8717745679267e-40,6.21895414082406e-37,80.8946227226978,"Downregulated","JAM2"
"209875_s_at",4.36441512427304,9.69923956271028,20.9993700546069,5.22079560251313e-40,7.75566589405335e-37,80.5989404595395,"Upregulated","SPP1"
"208982_at",-1.81391374177058,10.6673127988037,-20.7577463725739,1.4296127621947e-39,1.8738859517638e-36,79.6023905882804,"Downregulated","PECAM1"
"213103_at",-1.21981976711928,8.18895597621495,-20.738385513752,1.55026503873161e-39,1.91914199211425e-36,79.522224283881,"Downregulated","STARD13"
"209470_s_at",-2.83583721829521,7.34324780812149,-20.6959253662378,1.85201589025629e-39,2.17202474118847e-36,79.3462483449584,"Downregulated","GPM6A"
"219597_s_at",-2.17652347704116,7.60833419566355,-20.4358254519649,5.53186002714036e-39,5.86983033260803e-36,78.2633403099217,"Downregulated","DUOX1"
"202112_at",-2.25847350861717,10.6017199527103,-20.3696029149857,7.318790081536e-39,7.41293633576666e-36,77.9862710940986,"Downregulated","VWF"
"201540_at",-2.55504116710626,10.7720158038879,-20.2361931603,1.28841513672986e-38,1.24825019529354e-35,77.4264192127304,"Downregulated","FHL1"
"209614_at",-1.55150138764497,6.97818220730841,-20.206855523849,1.45947221787326e-38,1.25082382426423e-35,77.3030030924253,"Downregulated","ADH1B"
"203980_at",-3.83854131283955,8.89436546376636,-20.2110919060111,1.43342548808679e-38,1.25082382426423e-35,77.3208312115898,"Downregulated","FABP4"
"205935_at",-2.22805788298065,8.32356754425234,-20.0687689796261,2.62809281067014e-38,2.16895526296899e-35,76.7206458852259,"Downregulated","FOXF1"
"205357_s_at",-1.69910265594124,7.35429694220561,-19.9987125089286,3.54509721925411e-38,2.8212643334514e-35,76.424270940709,"Downregulated","AGTR1"
"206481_s_at",-2.2117825543406,9.16925082266355,-19.9821607456855,3.80520334773685e-38,2.91030522927964e-35,76.3541575492932,"Downregulated","LDB2"
"206742_at",-2.55490155608796,8.98701687421495,-19.9753225347826,3.91819579403084e-38,2.91030522927964e-35,76.3251806878001,"Downregulated","VEGFD"
"204719_at",-2.95990968806755,7.83955245192523,-19.9447755213209,4.4656633509654e-38,3.20994762740523e-35,76.1956654807025,"Downregulated","ABCA8"
"206283_s_at",-1.29273068848065,6.45090858492523,-19.6053323419412,1.92503174535595e-37,1.22558521090762e-34,74.7484811226487,"Downregulated","TAL1"
"205779_at",-1.76885403218262,8.28092942399065,-19.3675728271755,5.40275047412827e-37,3.34415246708334e-34,73.7260523005328,"Downregulated","RAMP2"
"220027_s_at",-1.5948044447843,8.95697209902804,-19.3270991930978,6.44485989836297e-37,3.88137332743843e-34,73.5512834640575,"Downregulated","RASIP1"
