"","GSM254625","GSM254626","GSM254627","GSM254628","GSM254629","GSM254630","GSM254631","GSM254632","GSM254633","GSM254634","GSM254635","GSM254636","GSM254637","GSM254638","GSM254639","GSM254640","GSM254641","GSM254642","GSM254643","GSM254644","GSM254645","GSM254646","GSM254647","GSM254648","GSM254649","GSM254650","GSM254651","GSM254652","GSM254653","GSM254654","GSM254655","GSM254656","GSM254657","GSM254658","GSM254659","GSM254660","GSM254661","GSM254662","GSM254663","GSM254664","GSM254665","GSM254666","GSM254667","GSM254668","GSM254669","GSM254670","GSM254671","GSM254672","GSM254673","GSM254674","GSM254675","GSM254676","GSM254677","GSM254678","GSM254679","GSM254680","GSM254681","GSM254682","GSM254683","GSM254684","GSM254685","GSM254686","GSM254687","GSM254688","GSM254689","GSM254690","GSM254691","GSM254692","GSM254693","GSM254694","GSM254695","GSM254696","GSM254697","GSM254698","GSM254699","GSM254700","GSM254701","GSM254702","GSM254703","GSM254704","GSM254705","GSM254706","GSM254707","GSM254708","GSM254709","GSM254710","GSM254711","GSM254712","GSM254713","GSM254714","GSM254715","GSM254716","GSM254717","GSM254718","GSM254719","GSM254720","GSM254721","GSM254722","GSM254723","GSM254724","GSM254725","GSM254726","GSM254727","GSM254728","GSM254729","GSM254730","GSM254731"
"FAM107A",-0.106969392141676,1.20632488297399,-1.31695669584871,1.29815772544818,-0.890362524039613,-0.543027014513016,-0.965233279224638,-0.408664644766231,-1.34299297319934,0.626610290127469,0.872422147948324,-1.13390853323458,-0.417972827757204,0.70908698784067,-1.08226618374584,1.08002155870839,-1.06499328291554,-1.36616410708517,0.621529722438102,1.84810298823587,-0.43275089766303,1.06402693969678,-0.898561261995816,-0.331766393106542,1.40940283415553,-0.30895610240266,1.42526762263602,-1.10099504668404,1.36631405087285,-0.164744128564642,1.14309069360217,0.689208561651773,-0.704251353773516,1.40445019931937,-0.795628938424343,0.823878867429238,-0.941405430790183,1.12645036385505,-1.23236630902161,-0.94786775050638,0.44581604034332,-0.900866997201298,1.24414433127164,-1.31129394885264,0.85804340439239,-0.77271825349052,0.838215073637726,-0.820348697649598,0.817105065362791,-0.734175225501038,-0.760499806887855,0.928549664061578,1.07954157669752,-0.961819437146369,1.20152980977875,-1.16184401315849,0.90919941220241,-1.12530184999081,0.845888619717872,-0.954723466464948,0.730571529222093,-0.922546688927356,-0.966072710249508,-1.1829002953988,1.11413816435137,-1.14793202496155,0.941864924994121,-1.10160416431705,1.13774756124024,-0.108733346286221,0.695142263340483,-1.31808979932637,-1.47180342903973,-0.835754520494216,0.640112833925673,-0.96022907159297,-1.15189657751811,1.50965490137747,0.993895234883966,-0.857492481806933,-0.257672771823841,1.35402639612007,-1.25277644444111,0.586180958337002,-0.858478910551133,0.332803729145357,1.04135882911158,1.17292163566201,1.26635475348326,-0.775483525810237,1.10600223192139,-0.741008172043471,1.26709676185691,-0.497813909682689,1.30639451755575,-1.43331578823273,-0.652060665088243,-1.20437415323423,0.0983781959528451,-0.364826297741842,1.06390487931387,-0.680032083442959,1.21698669538397,-1.00323723020826,-0.0459809180662819,1.34706935123004,0.98952696521846
"CD36",-0.762119422300408,1.39161389122248,-1.07957050547846,1.19026597159857,-0.264702374037203,-0.698318795263418,-0.969380686362006,0.846224934313745,-1.00694501437316,1.72854082504246,1.10863004483444,-0.934363666581032,-0.495320929577861,0.473933322023386,-0.982516747412984,0.629551411100769,-1.33964786916305,-0.928083651127216,1.39823845615342,0.49318927372105,-0.618776865581815,1.99675704055003,-1.23866424381046,-0.546740191020927,1.80231523121683,-0.976455848537112,0.859129615213449,-1.12325718000144,1.99078791556897,-0.595093700152275,1.17450034733785,0.0675930689292703,-1.05627182846412,0.636747290223899,-0.761765086118206,0.844800687808788,-0.862301737265303,1.16864747764146,-1.05721966113654,-1.25170951736328,0.934887214996236,-1.32001625036173,0.785198164189877,-0.819725350068274,1.47250263264615,-0.348060038536862,1.00342418047533,-0.961723263617222,1.23803594572076,-0.80780982473482,-1.08029956662424,0.76284257314222,-0.555865014936841,-1.1845079379275,0.846783672136094,-0.784985323220217,1.4917272334326,-0.753533459001529,1.37469911635767,-0.554682197077155,0.376390931558733,-0.868752154054148,-0.281630842938016,-0.912560167367607,1.33977076575991,-1.04550929430576,1.32278938849276,-0.84983047830616,1.31376262890691,-0.331057715155469,0.958727530290594,-0.625945951471365,-1.23746581237937,-1.3707488184582,0.546277024732784,-0.669661743823542,-0.798170617841172,0.697476640377787,0.734075292063556,-0.71327612709836,0.112717002891949,0.523332680150083,-1.01319828685087,1.28726819775236,-1.00867871113675,0.501701780098458,1.15904164020914,0.852181272893741,0.271399727364989,-1.26958329106068,1.05460288340249,-0.248995160210867,1.39882476582512,-0.976844798615659,1.53766392823541,-1.03548020044427,-1.26651989184881,-1.50944569296334,0.656960611511919,-0.697663017013236,0.46474633561524,-0.136948161721607,0.70563951452237,-1.1853372214742,-0.117268047460054,0.829574158199902,0.534513712780201
"GRK5",0.0752357794306578,1.47466922132478,-1.53783287399257,1.51155551169609,-1.44082046973003,0.198803359306257,-1.08599338050174,0.0648146136434101,-1.64590447246655,0.0647247770721546,0.953325239404577,-1.46840696575584,-0.374645157983581,0.444527717582511,-1.15402674875619,1.14057340942468,-1.3661340565529,-0.956722750409936,1.424873310557,1.04296787569965,-0.471392875179021,1.20032363726248,-0.841944012134354,-0.677759705717396,1.31652288368823,-0.00161557924593268,0.930223214449963,-1.21915737174237,1.31072984988735,-0.563734126324808,1.12926447728988,-0.115534195760756,-0.519583822928718,1.44197881542416,-0.935170357620756,1.33218090495687,-0.625418443112736,1.23245735484342,-1.16776362052973,-1.09024293548271,0.793546952692381,-0.581851299546903,0.372116076513241,-0.509847062997445,1.36768291234749,-1.05738503354663,1.1309257365993,-0.598894951166722,1.3509241848751,-1.07230739962377,-1.0737928134444,0.859178754304515,0.768874693989642,-1.92893546812016,0.764007543177508,-1.05376720359969,1.32744104807017,-1.04151940961545,0.679092920852404,-0.893452925633443,0.698184904495982,-0.767488085699589,-0.24311874855472,-0.601411990793981,1.05150555925691,-0.98562745142756,0.711459610763549,-1.04277347280038,1.13510272908676,-0.248419256303436,0.194648727258011,-1.01818273455883,-0.96185256420224,-1.05356642569451,1.32384380379209,-0.882621063438089,-1.60351814529767,1.27620367064519,0.69324192885628,-1.23238502916631,-0.289987357507204,0.98741664234856,-0.540631229898844,0.698793734840974,-0.715960562119294,0.28864971453286,0.865428304203629,1.15095738460376,1.12234992048702,-0.173437369628751,1.33390783531594,-0.211183376337199,1.07397394724513,-1.24168644672193,1.43714883324396,-1.12819981325016,-0.662325837488918,-0.882418519856177,0.248413849009625,-1.11498100239711,0.651684406556887,-0.51737223552486,1.16275704604415,-0.801383423503888,-0.3484989790306,1.25785225729152,1.27352102418079
"CA4",-0.786114479475234,1.34048487109932,-0.766438555079745,1.18970309900329,-0.871468659531899,-0.943353460383065,-0.991736882025225,-0.718915589429157,-0.880419259418939,0.665395716407849,1.03149965447777,-0.60416198147406,-0.392919713612495,0.565727913718449,-0.900135355795109,0.446246928887498,-0.942842200697344,-1.05161281982386,1.50806643999853,1.49412907564951,-0.759417326763007,1.43582213823354,-0.905745038195541,-0.573738710397435,1.71851003918657,-0.848568178918814,1.17597641591604,-1.04728814340482,1.59233856970976,-0.789973734874571,1.53582556378748,-0.259517889021859,-0.777497432191614,1.16830942744967,-0.799561231561614,0.869046967169153,-0.970012918211048,1.76392142198693,-1.139561842241,-0.852802048279637,1.22439285560513,-0.933307206992608,0.0759366440429527,-1.02307316372613,1.7376589922701,-0.907955486981006,1.17041852188283,-0.779152206195188,1.21442789427921,-0.880348342008798,-0.792177277365174,1.09631203510093,0.123422986731918,-1.03856835003834,0.860282963893011,-0.808246597462113,0.688954999957115,-0.896592894214221,1.28145503401959,-0.952077853465035,0.891192539730677,-0.853236072225832,-0.7680570110713,-0.873176367409447,1.27963292051272,-0.884631889853505,0.955548355608364,-0.93589614847211,1.40887622518126,-0.038592148130094,0.270726547510749,-0.993314798823004,-0.811948571742309,-0.768580681003092,1.13533222395714,-0.969919823677027,-0.850297510624207,1.59338572136778,0.395689931183003,-0.685313787591429,-0.616770882754256,0.990514522493601,-0.854374683293668,0.756422976543316,-0.796548902579997,-0.278793358691496,0.710412667060145,0.705908655509987,1.24825139943191,-0.841208494748639,1.52716183232792,-1.12864015778154,0.553964494059938,-0.866646971861306,1.82418517360741,-0.848397126954789,-0.92810473207678,-0.784486851646745,-0.933298435623136,-0.770015783745663,1.34215612865493,-0.712105086241648,0.992777097142721,-0.983777250192466,-0.557102156442773,1.04379522463873,1.31833670752747
"EDNRB",-0.342118551304859,1.34773997260917,-0.784837171262164,1.47901037184387,-0.79790395126812,-0.608087735207412,-0.731550812209131,0.113585073422986,-0.943615053222609,1.02807896057527,0.615501746642843,-1.03773041766864,-0.849449164469468,0.0919988891630448,-1.52607020527662,1.00712699777794,-1.18150722646119,-0.937787707005384,1.71871545163435,1.55123775216159,-0.917547053510088,1.21396640174744,-1.06320634842775,-0.45425250921406,1.18018514718807,-0.0591036571273838,0.780089967705644,-1.04906473903286,1.87656302941122,-0.669879326053847,1.51167822187771,-0.145241590893675,-0.945068364094568,1.59891996969731,-0.638090645343074,1.23376533486055,-0.788477190070505,1.08296865149702,-1.23167640960703,-0.886308624926258,0.790205615570989,-0.752859844957547,0.106035860408676,-0.898306961623691,1.56913628309666,-0.98235635114221,0.959172942896642,-1.03183204860457,1.63366609322212,-0.883450654477037,-0.95912313463391,0.91413345749418,0.59541362689992,-1.01719164870688,0.747362343440191,-1.21835086523347,1.68292454394785,-1.07507958168013,0.723902368373358,-1.06795550437446,0.7108332329124,-0.905443918119471,-0.14426643657652,-0.963556357982226,1.20172682510546,-1.14298270580887,0.79656050424778,-0.592273104097994,1.21363628939101,-0.351475552114644,0.256636366398146,-1.21874811332787,-1.23316755695137,-1.08186884139516,0.518374592833023,-1.06553212631949,-0.845559010934698,2.02212557553494,0.436503285663855,-0.502962009191604,-0.0766541572206184,1.2317671062983,-0.744744961113251,-0.0719046388338467,-0.554793743831506,0.56198255430877,0.192030011687947,0.78555057647092,1.15067171762945,-0.89945784747898,1.02849498825429,-0.239432301520829,0.889299229706565,-0.928719599305714,1.83036614315142,-1.09405914159414,-0.867381439628589,-1.13578793647413,-0.032445111196222,-0.796811514751681,0.455121378507162,-0.595605137232034,1.26314459672921,-1.11224951948531,-0.403085700467085,1.22297018322775,1.1551692988194
"CDH5",0.141941063281656,1.24131930217079,-0.329212453300612,1.42827198074006,-1.02383273236755,-0.429073586071621,-1.42213710478766,0.765403964934349,-1.83981959989427,0.884633723431009,0.663459763909533,-1.19740033468416,-0.983214872635085,0.125638348636048,-0.776329453273152,0.765879222025667,-0.98614270970762,-1.56157779595973,1.19620085328341,1.46494400852797,-0.351987718970074,1.06802981874165,-1.10202075927148,-0.614267689999679,1.3621049921592,0.0127599256212902,1.05621750214636,-1.25272529017672,1.4392481701932,-0.729984043320662,1.2730125356674,-0.263327136273513,-0.502012984760598,1.50741290794579,-0.764290921563363,1.07657397776099,-1.03893595696263,1.23098121951494,-1.50323319324207,-1.29641719583068,0.605578467028357,-0.274365984596012,0.442400126008247,-0.708930227996912,1.53456857604843,-0.947913366960901,0.855402861612104,-1.34511339522944,1.67324247388364,-0.661867776497163,-1.2647414040732,0.547268882761356,0.0541052969026597,-0.905511451038232,0.690062008687176,-1.30435767221168,1.09622000963722,-0.737833649535434,1.01069992335406,-0.772701810490717,0.984642704690147,-0.633461741325341,-0.394238213079269,-0.873739401925436,1.18788945898299,-1.37469609634401,0.632028237070102,-1.00912581014339,1.05848698793935,-0.25648501774284,0.792926899815352,-1.03311947990345,-1.21614052686386,-1.28405100898649,1.29166639440614,-1.29522722271141,-1.18960428083377,1.19523294350017,0.470441826608168,-1.05952203921756,-0.238166461426611,0.957408583193161,-0.511809175967774,0.580594453833152,-0.42817476700564,0.602006415657585,0.28203945566213,0.933995538516529,0.866534442857631,-1.01579110175004,1.18785094571134,0.136887337273758,1.51102214558918,-1.10684084737168,1.35090873296743,-0.590598340316282,-0.239410475152248,-1.33659232062177,0.309314890419363,-0.790330741183493,0.481685537549704,-0.326834603266034,1.65920391224408,-0.975092035461795,-0.134960906854962,1.2118945779832,1.30704855805259
"AGER",-0.221193567835895,1.33431708775422,-1.32093898402557,1.09403011843678,-1.10534604383912,-0.71736860672093,-0.969168471600931,0.238868432917445,-1.24971660279146,0.48968471105428,1.08381928680432,-0.839524440638208,-0.218771103645037,0.624841080870718,-0.543575355492693,0.727999995413548,-1.13826674023926,-1.17590011995895,1.3499353766958,0.621710911486726,-0.123781022509755,1.29177195459554,-0.92534676652597,-1.02114245390981,1.34543560277341,-0.57410086655822,1.05538727409983,-1.12734675969383,1.52385975529389,-0.529854144529402,1.40514604780432,0.472595305387681,-1.30404288906608,1.28216226315369,-0.78918448094854,1.45992471007309,-0.676649896779298,1.37499120966861,-1.05543214308887,-1.13852075311743,1.09246932990008,-1.13448360450102,0.593664482281146,-1.17915262862289,1.32304273891078,-0.533630078763562,1.08973329969328,-0.701394566815349,1.44705331892205,-0.517856249463193,-0.908028555077101,1.01642845171318,0.50508447608747,-1.10463034303494,1.17076924091359,-0.91738478678858,0.475185982679634,-1.18912740290486,0.782908812260966,-0.872519027246138,1.15516225507314,-1.12512298668159,-0.826338651103851,-1.13563091200365,0.63132663911834,-1.23172930148293,0.876934951337023,-1.17907747744977,1.14891580808916,0.0640606337291222,0.241582381985017,-1.13247832934753,-1.14830869776105,-0.80635175305609,1.10216032063686,-0.856946903556037,-1.02613086288858,1.48739983406512,0.990040110515879,-0.543262602713913,-0.302351925263998,0.871093539605752,-1.10358653441093,0.785574032222756,-0.501860292449701,0.250467116046314,1.1330379955497,0.474919148901839,1.23788795089403,-1.07546402642087,1.29253114689997,-1.15760279782752,0.989088272991208,-1.17363101650475,1.55305901126934,-1.04086438195004,-1.10347099774996,0.460632810559671,-0.998556092922349,-0.902256281936672,0.937216294555882,-0.597137064921113,1.21683526768861,-0.959454753775283,-0.0016918182774704,1.3261360032829,1.25380313652481
"NPR1",-0.747681160628611,1.30454424894948,-0.635125957316724,1.03929138462369,-1.0160761098831,-0.990512058871261,-0.651802546446401,5.23969143595692e-05,-0.339378464869976,1.12445288233815,0.522405534219806,-0.753950398218561,-0.670798598706279,0.308320628378049,-0.494880128063753,0.811008717669653,-1.12114217686147,-1.44050915478195,0.642251185867342,1.69626271193451,-0.538454095189195,1.23134188521989,-1.12235034191187,-0.745513520820991,0.923671130364533,-1.34972835483747,0.905863705793997,-1.30576998887618,1.59211772920272,-0.514489089024258,1.21672959101431,-0.532950095542733,-0.477931271536923,0.987146391986806,-0.424438865388879,1.17634347784019,-0.36678420740797,1.58858385016376,-1.22228074968241,-0.827433844853739,1.27633869521728,-0.945290560840585,0.217255702387036,-1.35847114028289,1.14743152073066,-0.320998817036976,1.79839341270452,-1.35846872801843,1.43117108226754,-1.37647920186343,-0.751214555081277,0.545288712161059,1.19946079172352,-0.563007802074289,1.0383337933528,-0.770190404054921,0.539678074577701,-1.14384449592306,0.267455329461286,-0.814222847716502,0.72675058175353,-0.610444022499308,-1.33935988144239,-1.12494016457119,0.831580001474725,-1.28120639064013,0.520646603326878,-1.13289794613363,0.370486021259588,-0.119984006487659,0.677370227041728,-1.0620401525899,-0.911623065894567,-0.322562717187056,1.6591854468984,-0.652080171722147,-0.652617270097926,1.28300317692805,0.562458099641313,-0.772474201329464,-1.10103366534332,0.581301894279577,-1.30939326646621,0.587341259677255,-1.25243437534596,0.378769018128629,0.81896803070763,1.03307033746397,1.21040929662052,-0.973643780815505,0.874626977962933,-0.615739383366563,1.17614629846002,-0.975988919399754,1.40275806007773,-0.765112372519099,-0.808773051637044,-0.952063853507269,0.20077489983291,-0.854202066888725,1.36068680113058,0.716658523692329,2.12934151987486,-1.05664168151298,-0.22451227868795,1.1682943182374,1.76211645716361
"CLEC3B",-0.106657346431593,1.67208618182468,-1.25576553512854,1.4689699407078,-0.655042986574486,-0.612455173075251,-0.903486603538948,0.142287162354788,-1.36472920005389,0.634883799154238,1.18922346307192,-1.02533948537639,-0.377023020137912,0.801180058786858,0.0295238652845186,0.267263883947319,-0.897716630245312,-1.35480784011543,0.835373215612938,1.04939231290742,-0.542897958453404,0.34628734520234,-0.830786988781714,-0.533048041319657,1.05755350072488,-0.734662240195523,0.41822168022865,-0.987025673044225,1.43433097366373,-0.389381373643205,1.43763516982581,0.309608385972922,-0.981921659523533,0.753195061872308,-0.709342094222266,1.3209568636945,-0.877342048435126,1.60325166296488,-1.37798962141379,-0.945055619493079,1.02369198943389,-0.944512082643199,0.363079057222908,-0.971602376527351,1.4157136873551,-0.243994076967324,1.3238136599971,-0.82768447759388,1.74704898969696,-0.617210669806226,-0.954935895094648,0.918119571438709,0.0874367654598318,-1.30355367915787,1.23230488446628,-1.29566865838756,0.313619474649888,-1.44201044108293,1.25395401713489,-0.893001581468267,1.00900999748552,-0.997113543717595,-1.07373181055201,-1.02118192755381,0.860175423227987,-1.28733700678633,1.09714351145781,-1.34385582559074,1.25255904882826,0.194401484637993,0.864943310740626,-1.17084797537186,-1.13974504369984,-0.846266010654686,1.39618057279194,-1.01503113090226,-0.558203534648887,1.66353865322477,0.806700446786698,-1.10430321664206,-0.318998897169198,0.956898091246833,-1.24293361847563,0.704353285041683,-0.730730788872509,0.083410399380697,0.609345313817109,0.187073401079487,1.01276503071201,-0.689574029068054,1.20935351433242,-0.813877856997799,1.04394485365863,-0.989640427480899,1.51495989544511,-1.14952973500093,-0.453637375506794,-1.21871598783217,0.0715889409715429,-1.1294069992495,1.14074761960636,-0.120769923008849,1.58389420904986,-0.626348627048061,-0.235599736643354,1.00690096959165,1.51413750863329
"HIGD1B",-0.606815803844953,1.07415190047222,-0.95381949427093,0.903566779529972,-0.481569958501137,-0.995856406779636,-0.903068780165154,0.515037788726135,-1.33541240221389,0.641543996359282,1.10905930033575,-0.854238278127152,-0.96193107918805,0.396678317794675,-0.998529054337456,0.666130035588165,-1.13941538614804,-1.24014887383287,1.35874172439676,1.58850771054221,-0.53476962555129,1.11498494811705,-1.12840810405863,-0.274588211567676,1.29304787455527,0.00674722057118551,1.14261954136093,-0.927996237531846,1.63589106966779,-0.371731760270594,1.41937815706953,-0.329219693241755,-0.66679689513701,0.983251002696577,-0.484827200681054,1.47556577065441,-0.683109076148658,1.16492040330512,-1.77164885027799,-0.801253246686449,1.10630112907964,-1.07884572076169,-0.0398715245867939,-1.2380805863565,1.4627247366971,-0.0941315145512751,1.30024925116587,-1.03276454333744,1.3933718525235,-1.09519468913813,-1.14746685953503,0.670500392991059,0.450416593282421,-2.01104850944049,0.594669533509971,-0.742052092374426,0.846109938547163,-1.19412372426426,0.577895446177971,-0.687524108633851,0.220828448786555,-0.820450804886802,-0.777692647666652,-0.959592655853104,0.821410456001828,-0.929700119054218,1.04604542518767,-1.1744631715551,0.660096947333627,-0.28821436887714,1.10536106747705,-0.591078009588209,-0.854433811742453,-0.672291199524787,1.50980667289732,-1.41913712318547,-0.742429734657059,1.56878347572578,0.584371287317078,-0.860510132075451,-0.552917625329394,0.992307219607785,-1.07802122872984,0.630083657229919,-0.877087920762693,0.84257714990378,0.612369171946174,0.83127958530073,0.41462794807242,-0.595227170594545,1.40347965254699,-1.00817197893489,1.77506065163292,-1.02759674297009,1.20988188493405,-0.88325629128667,-0.473464824892772,-1.10158379836,-0.541058696619437,-0.51361633021698,0.890454294654825,-0.0229339649688525,1.52311969573563,-1.06296107250545,0.260956550804436,1.29224524917575,1.54694080839005
